txn_id,branch,item,amt_egp,date
770487,Maadi,Laptop,37090.45,20240602
334053,Zayed,Mouse,33851.14,20241217
191161,Heliopolis,USB Hub,1637.54,20240292
329258,Zayed,SSD,30120.84,20240508
850800,Aswan,SSD,21005.02,20241020
717889,Smouha,Laptop,37952.43,20240427
832052,Mansoura,Webcam,13929.67,20240541
900581,Smouha,Mouse,4682.65,20240299
476417,Smouha,Mousepad,13262.82,20240189
865179,Mansoura,SSD,6285.07,20240876
182627,Heliopolis,Headphones,41478.76,20240841
705397,Zayed,Mouse,2338.93,20240567
910620,Smouha,Mouse,42773.12,20240307
498591,Smouha,Charger,31802.44,20240848
270555,Smouha,Webcam,10514.88,20240647
835911,Aswan,Mouse,30476.09,20240451
660086,Aswan,Monitor,8211.95,20240878
383060,Aswan,SSD,11019.78,20240765
983794,Maadi,Monitor,41099.04,20240747
520651,Smouha,Mouse,10588.59,20240745
322955,Aswan,Charger,19811.81,20241040
249811,Smouha,Keyboard,12369.04,20241204
375504,Aswan,Mousepad,21450.27,20240918
479580,Zayed,Keyboard,25500.84,20240287
892495,Maadi,Mouse,7684.42,20240428
930555,Aswan,USB Hub,29840.63,20240889
500156,Heliopolis,Charger,26479.26,20240124
813328,Aswan,Mouse,34101.43,20241200
887352,Smouha,Webcam,5622.03,20240991
265840,Mansoura,Laptop,47693.11,20240640
624902,Zayed,SSD,45635.76,20240712
982554,Aswan,SSD,30468.06,20240414
492077,Zayed,SSD,47677.31,20241187
100599,Heliopolis,Webcam,24455.86,20240330
480612,Smouha,Monitor,2943.36,20240262
189814,Aswan,Charger,40810.36,20241191
903035,Zayed,Keyboard,33004.55,20241226
273148,Smouha,SSD,43628.03,20240967
322086,Heliopolis,Monitor,35661.8,20240918
804314,Aswan,Webcam,21933.1,20241160
573417,Maadi,Monitor,11273.63,20240793
122056,Heliopolis,SSD,11544.23,20240552
107540,Maadi,Laptop,11485.64,20240165
446479,Maadi,SSD,11938.33,20241095
324643,Heliopolis,Keyboard,36181.46,20241069
354801,Mansoura,USB Hub,9560.98,20240299
790993,Mansoura,Webcam,21207.75,20241057
864491,Maadi,Mouse,3077.6,20240795
939482,Maadi,Monitor,9619.92,20241199
570405,Zayed,USB Hub,9215.23,20241048
361941,Maadi,Charger,40410.71,20241228
202664,Maadi,SSD,41809.58,20240292
890170,Zayed,Keyboard,20350.38,20241086
324130,Mansoura,Laptop,8273.62,20240105
509386,Smouha,Charger,14298.2,20241097
262316,Zayed,Headphones,10924.16,20240220
707314,Aswan,SSD,3094.83,20240743
159942,Maadi,Mousepad,23865.59,20241188
265080,Maadi,SSD,4051.57,20240481
171849,Heliopolis,Mouse,33776.87,20240582
523389,Maadi,Mousepad,12348.46,20240182
749468,Maadi,USB Hub,32885.79,20241171
431737,Smouha,Monitor,33502.81,20240744
350280,Smouha,USB Hub,6587.37,20240715
579434,Smouha,Mouse,515.31,20240305
176819,Heliopolis,Monitor,25318.94,20240372
465962,Maadi,Monitor,18507.88,20240424
559469,Heliopolis,Headphones,30603.3,20241184
108203,Aswan,SSD,15003.97,20240313
240814,Smouha,Mouse,44491.15,20240419
385577,Smouha,Mousepad,10570.95,20240803
313487,Aswan,Headphones,25295.18,20240615
987204,Maadi,Mouse,31732.51,20240667
146228,Maadi,Webcam,38567.41,20240637
269430,Aswan,Charger,27606.44,20240976
688153,Maadi,Mouse,3808.43,20240406
672092,Maadi,Webcam,29146.35,20240404
550664,Zayed,Laptop,15447.5,20240182
